"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0212245571362483,0.000450025273304451,NA,0.0203602238377968,0.022124754467774
"randomraw","string",0.0156897380292611,0.0003850131190126,NA,0.0149527142071641,0.0164624828498541
"random","string",0.0108176212565188,0.000318199751797985,NA,0.0102114162310287,0.0114593972476819
"EGAD","string",0.0777602079813918,0.000890482701237879,NA,0.0760327310771779,0.0795235554350496
"ppr","string",0.133817448531228,0.00118112632022978,NA,0.131519366684793,0.136149390513758
"raw","string",0.185538137256953,0.00138664683874287,NA,0.182835716026193,0.18827129909375
"gm","string",0.104283644007019,0.00103886506004868,NA,0.102264998474656,0.106337416427403
"mc","string",0.0876232289033015,0.000948344221926186,NA,0.0857822421564474,0.0894998574558886
"z","string",0.175807219049936,0.00135164317338665,NA,0.173173729627191,0.178472112054112
"knn","string",0.145444740030495,0.00123173906749909,NA,0.143047162647618,0.147875568256395
"wsld","string",0.141495145885847,0.00121485847323407,NA,0.139130757847198,0.143892998238857
"COSNet","string",0.098306826779016,0.00100734813546646,NA,0.0963500489904742,0.100298933962419
"bagsvm","string",0.183335157340271,0.00137885952103656,NA,0.18064807417097,0.186053134005921
"rf","string",0.220667520602919,0.00150058899520515,NA,0.217740474535659,0.223622666175691
"svm","string",0.168231591266268,0.00132328383082086,NA,0.165653927257665,0.170841152198656
"pr","omnipath",0.0127618264816473,0.000275385833213191,NA,0.0122331954188497,0.0133129933079433
"randomraw","omnipath",0.00941264720200857,0.000234063959653853,NA,0.00896479080148997,0.00988265417046599
"random","omnipath",0.0064769222389343,0.000192304558043304,NA,0.00611070310988929,0.00686493756496393
"EGAD","omnipath",0.0478575862779639,0.000578592774367176,NA,0.0467362409356035,0.04900445304375
"ppr","omnipath",0.0843292038458576,0.000808937862454616,NA,0.082757186912027,0.0859282846418669
"raw","omnipath",0.119562816624714,0.000994371696807939,NA,0.117627569998612,0.121525517455381
"gm","omnipath",0.0648992142274661,0.000692398329147178,NA,0.0635552705106539,0.0662695659207728
"mc","omnipath",0.054150490978549,0.000622130665120996,NA,0.0529440003825163,0.0553828673482992
"z","omnipath",0.112812825275981,0.000961034228547241,NA,0.110942913579314,0.11471018736428
"knn","omnipath",0.0921137820745715,0.000852494991680525,NA,0.0904564836269791,0.0937983133532432
"wsld","omnipath",0.0894607960682746,0.00083783220904039,NA,0.0878322087010182,0.0911165643360217
"COSNet","omnipath",0.0610258523931722,0.000667618872697575,NA,0.0597303857110731,0.062347552847138
"bagsvm","omnipath",0.118029670325754,0.000986882504924264,NA,0.116109102414031,0.119977694310683
"rf","omnipath",0.14441551761277,0.00110943505635005,NA,0.142254642774329,0.146603606338162
"svm","omnipath",0.107597290343739,0.000934611734512835,NA,0.10577915071664,0.1094428555883
