"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.724301512246837,0.00127310255046124,NA,0.721799296482557,0.726789741046068
"randomraw","string",0.654212523922453,0.00138026901733547,NA,0.65150228048145,0.656912789528544
"random","string",0.547991681824797,0.0014748836508088,NA,0.545099375887156,0.550880749757139
"EGAD","string",0.747977207243677,0.00122802773730535,NA,0.745562705085419,0.750376468219393
"ppr","string",0.86143066521596,0.000935596286446364,NA,0.859586728334364,0.863254239320782
"raw","string",0.876041570013602,0.000886251230983515,NA,0.87429407549377,0.877768168100906
"gm","string",0.577800420097385,0.00145618514183006,NA,0.574943782052426,0.580651862537504
"mc","string",0.881832265277448,0.000865711487864612,NA,0.880124924437927,0.883518507311681
"z","string",0.877754782799322,0.000880235468478064,NA,0.876019048079875,0.879469560663908
"knn","string",0.875122905251608,0.000889456339815515,NA,0.873369145481748,0.876855801177529
"wsld","string",0.874548399107639,0.000891453455535792,NA,0.87279073550604,0.876285219311982
"COSNet","string",0.611884853941276,0.00142736988016707,NA,0.609083600639909,0.614678732770344
"bagsvm","string",0.880168064098524,0.000871674932301866,NA,0.878449064601638,0.881866022409314
"rf","string",0.851720463047925,0.000966585931912815,NA,0.849815977005254,0.853604958655215
"svm","string",0.806633437243444,0.00109439309990812,NA,0.804479417049567,0.808769367843437
"pr","omnipath",0.639635252826539,0.00145370140353358,NA,0.63678116057511,0.642479509786909
"randomraw","omnipath",0.561065971188514,0.00149219064887752,NA,0.558139243188933,0.563988457381004
"random","omnipath",0.450275157446394,0.00147396361006553,NA,0.447387950200499,0.453165717742477
"EGAD","omnipath",0.667241365113316,0.00142934620775873,NA,0.66443401128224,0.670036896075777
"ppr","omnipath",0.807695522689474,0.00120132907605163,NA,0.805329972434608,0.810039108153314
"raw","omnipath",0.826833350621975,0.00115355833820733,NA,0.824560736140819,0.829082628214755
"gm","omnipath",0.480417980960512,0.0014871172232099,NA,0.477503984166143,0.483333310634232
"mc","omnipath",0.834488492863192,0.00113299970076604,NA,0.832255895725328,0.836697205715572
"z","omnipath",0.829093983568763,0.00114757736645667,NA,0.826833009795687,0.831331458710553
"knn","omnipath",0.825622591466288,0.00115673117154173,NA,0.82334380215557,0.827878130546305
"wsld","omnipath",0.824865929983257,0.00115870332938353,NA,0.822583302695947,0.82712536120715
"COSNet","omnipath",0.515775641825535,0.00149476095707505,NA,0.51284545554019,0.518704743836238
"bagsvm","omnipath",0.832284342457685,0.00113900864455326,NA,0.830040047692876,0.834504910458361
"rf","omnipath",0.795115435854109,0.00123012074835386,NA,0.792693911306327,0.79751590000281
"svm","omnipath",0.738109000257836,0.00133814797752655,NA,0.735477818409474,0.740723236371341
