"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.102058221168177,0.00106404024624755,NA,0.0999915453146219,0.104162668482619
"randomraw",0.0601791199726725,0.000824358252426606,NA,0.0585835635417388,0.0618152788842165
"random",0.0455158568549664,0.000718505452204862,NA,0.0441281770263189,0.0469450313052916
"EGAD",0.287179558211207,0.00165090810210831,NA,0.283954753042974,0.290426132379339
"ppr",0.416701645678804,0.00181778633897564,NA,0.41314325838273,0.420268732937738
"raw",0.47161485528503,0.0018432371298418,NA,0.468003726165376,0.475228957620921
"gm",0.164381158204093,0.00132417646962561,NA,0.161802250429441,0.166992981111259
"mc",0.40538684964338,0.00180932594069615,NA,0.401845628905398,0.40893794208958
"z",0.445610116938616,0.00183438460788324,NA,0.442017696213377,0.449208229333708
"knn",0.422527013578622,0.00182170886562632,NA,0.418960636588095,0.426101485876175
"wsld",0.419762499250187,0.00181988395114488,NA,0.416199842255877,0.423333538610234
"COSNet",0.200633446621882,0.00144172016569724,NA,0.197822625469361,0.203474075696833
"bagsvm",0.459323632307899,0.00183976544211099,NA,0.455719949961328,0.462931573795001
"rf",0.45638429682926,0.00183874625848997,NA,0.452782765512808,0.459990394555426
"svm",0.396011100871494,0.00180146727367961,NA,0.392485765511062,0.399547275871606
