"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.521982664867685,0.0142085344253085,NA,0.494864275579026,0.550587132408307
"randomraw","string",0.153629145890958,0.00767241968797486,NA,0.139304008306872,0.169427389448786
"random","string",0.193155976293971,0.00860781977384935,NA,0.177000759565052,0.210785712274671
"EGAD","string",2.75047347151568,0.033514053296534,NA,2.68556528217978,2.81695044529737
"ppr","string",3.9421731884742,0.0406855131654288,NA,3.86323214794944,4.02272730521092
"raw","string",5.20282780680743,0.0474145877857453,NA,5.11072195062763,5.29659360239003
"gm","string",4.37376963874864,0.0430674897562697,NA,4.29016822946445,4.45900016727956
"mc","string",2.06709338534654,0.028817567592177,NA,2.01137666093814,2.12435350709025
"z","string",4.96484429034083,0.046193873348264,NA,4.87512649027295,5.05621318267578
"knn","string",4.53311075278777,0.043924630907881,NA,4.44783240435043,4.62002414410691
"wsld","string",4.47247247967885,0.0435997642377638,NA,4.38782970695514,4.55874804115072
"COSNet","string",3.71392286882383,0.0393860767927205,NA,3.63752431378546,3.79192601498199
"bagsvm","string",5.19917214603219,0.0473959867224341,NA,5.10710267818625,5.29290141737994
"rf","string",6.07214393915384,0.0517191218057188,NA,5.97161774359682,6.17436239239162
"svm","string",4.93198903912352,0.0460237380792636,NA,4.84260407627523,5.02302387287959
"pr","omnipath",0.365412382141936,0.00998173397830282,NA,0.346363035285883,0.385509408971525
"randomraw","omnipath",0.107547617851785,0.00537669057549895,NA,0.0975093321193125,0.11861931421539
"random","omnipath",0.135218255649204,0.00603381875566968,NA,0.123894584337219,0.147576883675946
"EGAD","omnipath",1.92546061563081,0.0238716389487574,NA,1.87923694141111,1.97282125561107
"ppr","omnipath",2.75970638983112,0.0291736105814683,NA,2.70311545101585,2.81748208542576
"raw","omnipath",3.64222383370093,0.0342230467107955,NA,3.57576176266291,3.7099212238625
"gm","omnipath",3.0618441764543,0.0309528472086741,NA,3.00177477446997,3.1231156449912
"mc","omnipath",1.44706245798562,0.0204436630257622,NA,1.40754327845866,1.48769120591762
"z","omnipath",3.47562419444928,0.0333017532876592,NA,3.4109630077696,3.54151115492166
"knn","omnipath",3.17339044029229,0.0315953004228504,NA,3.11206508794013,3.23592425028747
"wsld","omnipath",3.13094080102827,0.0313516661171711,NA,3.07009173249217,3.19299589513765
"COSNet","omnipath",2.59992044550433,0.0282068060305681,NA,2.54521975631631,2.65579673667729
"bagsvm","omnipath",3.63966469945741,0.0342089908589053,NA,3.57323010341253,3.70733446799999
"rf","omnipath",4.25078595680446,0.03748996480553,NA,4.17793841037079,4.32490369070864
"svm","omnipath",3.45262397543581,0.0331735332246906,NA,3.38821343002803,3.51825897687194
