"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.0946531943131859,0.00123519771275001,NA,0.0922598181291603,0.0971020170847058
"randomraw","classic",0.0384060670761789,0.000545742908115465,NA,0.0373506149401412,0.0394901206473058
"random","classic",0.052267434227543,0.000725300846072829,NA,0.0508639996825972,0.053707401014981
"EGAD","classic",0.0463601133497185,0.000883724891886052,NA,0.0446585038153916,0.0481232928290001
"ppr","classic",0.0182329258122653,0.00036285290523745,NA,0.0175351938295985,0.0189578850918267
"raw","classic",0.0250027932274134,0.000491674443803905,NA,0.0240570110816189,0.0259847680422301
"gm","classic",0.0377804454541311,0.000801155858440369,NA,0.0362411797796703,0.0393824165841724
"mc","classic",0.0147779716636551,0.000324633265538793,NA,0.0141550110056736,0.0154279197077827
"z","classic",0.0202915318320575,0.000441414568725032,NA,0.0194441983731852,0.0211749927470022
"knn","classic",0.263815359095029,0.00188144034257216,NA,0.260144376184556,0.26751941355514
"wsld","classic",0.120414602101487,0.00106817556289882,NA,0.118336675103694,0.122523945755051
"COSNet","classic",0.158980686816754,0.0013258454191677,NA,0.156399267939134,0.161596551181945
"bagsvm","classic",0.408250079047379,0.00200788063166423,NA,0.404320665149606,0.412191256130336
"rf","classic",0.208583894953766,0.00142696894283184,NA,0.205800894329818,0.211394512350191
"svm","classic",0.266822421052613,0.00165939531538684,NA,0.26358269978728,0.270087357825271
"pr","block",0.462983526007011,0.00198928444929559,NA,0.459086941870356,0.466884636452684
"randomraw","block",0.24775612931413,0.00154579046232564,NA,0.244738874363394,0.250798230074633
"random","block",0.312611657004244,0.00174938962045833,NA,0.309193210005967,0.316050607122943
"EGAD","block",0.222724670357827,0.00173319140028113,NA,0.219346167789939,0.226140136353347
"ppr","block",0.0986658962469908,0.000928043626283243,NA,0.0968618358850968,0.100499818351103
"raw","block",0.131306201619564,0.00117052296811354,NA,0.129028982302479,0.133617445654401
"gm","block",0.367053874689619,0.00196184611009122,NA,0.363217256459735,0.370907413585564
"mc","block",0.181360800493264,0.0013087281404405,NA,0.178809847034362,0.183939994938293
"z","block",0.234248161744218,0.00155015887281264,NA,0.231223592934331,0.237300081897991
"knn","block",0.441608703627946,0.00199898138123018,NA,0.437694485853839,0.44553019078638
"wsld","block",0.232024632971337,0.00149973521328055,NA,0.229098208729118,0.234977044302618
"COSNet","block",0.294373610491574,0.00171561712539375,NA,0.291022291408903,0.297747314617008
"bagsvm","block",0.423872003675407,0.00198957681853144,NA,0.419977321993495,0.427776165622258
"rf","block",0.219398224223189,0.00145140094879314,NA,0.21656679255631,0.222256172513389
"svm","block",0.279589502640201,0.00167418557430067,NA,0.276319971534051,0.28288259786162
"pr","representative",0.418905994004198,0.00199049241520113,NA,0.415009847674318,0.422812280735751
"randomraw","representative",0.215929942159674,0.00144045055519202,NA,0.21312008637244,0.21876654464823
"random","representative",0.275505534303234,0.00166560066312222,NA,0.272253031486824,0.27878200859039
"EGAD","representative",0.243622507719871,0.00179940962929111,NA,0.24011305709774,0.247166567743542
"ppr","representative",0.109564328731478,0.000993270858999488,NA,0.107632667303442,0.111526324661031
"raw","representative",0.145229091695412,0.00124231826737254,NA,0.142811096164756,0.147680973962764
"gm","representative",0.45625382909471,0.00199119390677773,NA,0.452353924992664,0.46015910441615
"mc","representative",0.24274076202669,0.00153032975164151,NA,0.239753974890701,0.245752729891128
"z","representative",0.306818895618365,0.00173771824223662,NA,0.303423606651872,0.310235256612096
"knn","representative",0.4916533550617,0.00200079532940078,NA,0.487732462200539,0.495575275008522
"wsld","representative",0.269793989063408,0.00162836725692201,NA,0.266614375490309,0.272997407019533
"COSNet","representative",0.337827635411931,0.00181762937037178,NA,0.334274399138313,0.341399272286401
"bagsvm","representative",0.429558011144839,0.00202081193181649,NA,0.425601883130619,0.433523158149487
"rf","representative",0.223404943702033,0.00148517904383645,NA,0.220507560134076,0.226329343814008
"svm","representative",0.284295113953689,0.00171007825380059,NA,0.28095536450955,0.287658681140222
