"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.0577548563306963,0.000775638196222152,Inf,0.0562532819420997,0.0592939941291235
"randomraw",0.027711468676568,0.000535755030920742,Inf,0.0266805146707198,0.0287810815012557
"random",0.0225015923766816,0.000482691338490298,Inf,0.0215747139481421,0.023467335663129
"EGAD",0.173619229743536,0.0013428758573838,Inf,0.171002979054235,0.176266996763989
"ppr",0.287990497219229,0.00160881986819849,Inf,0.284847576766335,0.291153977520105
"raw",0.335748854801694,0.00166896572878857,Inf,0.332485661980335,0.339027808105909
"gm",0.143832343738013,0.00119680858785591,Inf,0.14150251893472,0.146193996471849
"mc",0.253726307124391,0.00151721248881353,Inf,0.250764142831521,0.256711473228305
"z",0.316783039583432,0.00164683193756018,Inf,0.313564163177711,0.320019554300188
"knn",0.301354130041648,0.0016135598969977,Inf,0.298201078307537,0.304526054265239
"wsld",0.297083347957758,0.00160765836179768,Inf,0.293942073037132,0.300243917525658
"COSNet",0.158840567625502,0.00126303408050838,Inf,0.15638068542134,0.161331744217042
"bagsvm",0.329733016945446,0.0016608024002315,Inf,0.326486105230533,0.332996254266425
"rf",0.361848692527301,0.0017246505382848,Inf,0.358475321917622,0.365235734725801
"svm",0.306270319725031,0.00164965168398773,Inf,0.303046627794171,0.309513074981863
