"method","network","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.432591484086525,0.00901540652128474,Inf,0.415277624949299,0.450627196991481
"randomraw","string",0.148564859675343,0.00508811540234799,Inf,0.138919677995256,0.158879705516651
"random","string",0.162122397213902,0.00532511936819118,Inf,0.152014215842785,0.172902721845207
"EGAD","string",0.183064626987153,0.00567484122592213,Inf,0.172273287485106,0.194531944813805
"ppr","string",0.640764064671627,0.011260062679588,Inf,0.619070479132572,0.663217840963438
"raw","string",0.49496373080722,0.00971994634680524,Inf,0.476274950976421,0.514385848578317
"gm","string",0.303188954004797,0.00742176740092802,Inf,0.288985996247905,0.318089952537585
"mc","string",0.647126261058438,0.0113245492328087,Inf,0.625306881613549,0.669707003177174
"z","string",0.402901234281409,0.00866748798224803,Inf,0.386266430086059,0.420252426671706
"knn","string",0.479664163305605,0.00955012930372935,Inf,0.461306763232942,0.498752084073576
"wsld","string",0.409452781751161,0.00874503526333687,Inf,0.392666618478961,0.426956539196484
"COSNet","string",0.410513147815629,0.00875754381035632,Inf,0.393702570265428,0.42804151472997
"bagsvm","string",0.48080026980325,0.0095628027718401,Inf,0.462418138364601,0.49991313113373
"rf","string",0.231841465952701,0.00642859930108697,Inf,0.219577903337951,0.24478995617501
"svm","string",0.245891316306908,0.00663302897372191,Inf,0.233228514924087,0.259241625985671
"pr","omnipath",0.529505693886702,0.0108817398442584,Inf,0.508601695093187,0.551268866312109
"randomraw","omnipath",0.181848099196143,0.00619609735797472,Inf,0.17010059634705,0.194406909154987
"random","omnipath",0.198442955049371,0.00648179007476875,Inf,0.18613698900409,0.211562498240806
"EGAD","omnipath",0.224076908364554,0.0069027093456206,Inf,0.210948170688513,0.238022736572378
"ppr","omnipath",0.784315533621903,0.0135124210100522,Inf,0.75827382261449,0.811251605863963
"raw","omnipath",0.605851301680749,0.0117110843688795,Inf,0.583327363534796,0.629244953509476
"gm","omnipath",0.371112893745691,0.00899312109235234,Inf,0.353898733773055,0.38916437602351
"mc","omnipath",0.792103063742972,0.0135875079168473,Inf,0.765914738726612,0.81918682572181
"z","omnipath",0.493163886655049,0.0104709296374857,Inf,0.473062396694615,0.514119534336437
"knn","omnipath",0.587124145913417,0.0115114957024542,Inf,0.564990039494838,0.610125380303646
"wsld","omnipath",0.501183188505911,0.0105625674123827,Inf,0.480902681324298,0.522318960146461
"COSNet","omnipath",0.502481110192756,0.0105773448799477,Inf,0.482171735031616,0.523645928942701
"bagsvm","omnipath",0.588514776292181,0.0115263978048299,Inf,0.566351563012197,0.611545309546142
"rf","omnipath",0.283781305959414,0.00780720594819693,Inf,0.268884694578575,0.299503211732631
"svm","omnipath",0.300978768310108,0.00805186233632422,Inf,0.285604006438,0.317181191199902
