"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.0632729998384133,0.000766925980322982,NA,0.0617863977160328,0.0647928999783449
"randomraw","string",0.0299819216325945,0.000522842904436703,NA,0.0289739657190265,0.0310238223367639
"random","string",0.0242722725523963,0.000469389872169773,NA,0.0233690896692165,0.0252094611633849
"EGAD","string",0.0454795722138067,0.000647270473959908,NA,0.0442276631972167,0.0467651839063885
"ppr","string",0.091387976493823,0.000925817220158962,NA,0.0895895384303189,0.0932188201783417
"raw","string",0.0651035579589163,0.000778242413791393,NA,0.0635947540470551,0.0666456109575342
"gm","string",0.0259272273055384,0.000485450288680613,NA,0.0249925661634882,0.0268958782811072
"mc","string",0.0736720805149141,0.000829223068989876,NA,0.0720632437658555,0.0753139199077205
"z","string",0.0702206670250869,0.000809064608425902,NA,0.0686513873680073,0.0718230520102265
"knn","string",0.0502671454920803,0.000681411459206863,NA,0.0489482826299197,0.0516196150697342
"wsld","string",0.048986458000935,0.000672437733123244,NA,0.0476851942693062,0.0503213550682863
"COSNet","string",0.0687914926585651,0.000800572095927504,NA,0.0672388768418355,0.0703772549807777
"bagsvm","string",0.0592516962637144,0.000741486372478621,NA,0.0578150005071176,0.0607217928371394
"rf","string",0.034722780046347,0.00056362208012662,NA,0.0336348823630966,0.0358445598762567
"svm","string",0.0368369197744778,0.000580946252348469,NA,0.0357150576524191,0.0379926328018247
"pr","omnipath",0.0573202867889658,0.000703878931608857,NA,0.0559562007107486,0.0587155579935279
"randomraw","omnipath",0.0270707145294999,0.000475290705652761,NA,0.0261545816834311,0.0280180140882742
"random","omnipath",0.0219029469238608,0.000425946221937871,NA,0.0210834788181352,0.0227535256099104
"EGAD","omnipath",0.0411273640666272,0.000591113964095726,NA,0.0399842938423724,0.0423016724496801
"ppr","omnipath",0.083024649365568,0.000855934797094187,NA,0.081362388576439,0.0847177388206489
"raw","omnipath",0.0589894716118029,0.000714618560645438,NA,0.0576043317700691,0.0604057832924294
"gm","omnipath",0.0234002283923349,0.00044074763805963,NA,0.022551765715854,0.0242798197563643
"mc","omnipath",0.0668108027875127,0.000763168001193566,NA,0.0653304766178122,0.0683222198328143
"z","omnipath",0.0636587388310454,0.000743937832198826,NA,0.062216117651744,0.065132487186509
"knn","omnipath",0.0454786151017054,0.000623144769038682,NA,0.044272773493276,0.0467156944235362
"wsld","omnipath",0.044314235493585,0.000614714797276856,NA,0.0431249148336331,0.0455347950008219
"COSNet","omnipath",0.0623541603996629,0.000735849404110369,NA,0.0609273974916937,0.0638120640650408
"bagsvm","omnipath",0.0536556364312805,0.000679784270071918,NA,0.0523387820717641,0.0550037000628011
"rf","omnipath",0.0313661266165053,0.000513097352032212,NA,0.0303759244656248,0.032387529446791
"svm","omnipath",0.0332829391728066,0.00052920281057034,NA,0.0322611819213502,0.0343359087529267
