"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","string",0.13096648330901,0.00128321961065394,NA,0.128471863952194,0.13350212220796
"randomraw","string",0.0856249708136169,0.000893980909172087,NA,0.0838889717246635,0.0873934675965887
"random","string",0.0779568903316006,0.0010244005002028,NA,0.0759726233514125,0.0799884964886432
"EGAD","string",0.0499135920214083,0.00068186785897936,NA,0.0485939810893234,0.0512671071120654
"ppr","string",0.0599504952680847,0.000902079616434964,NA,0.0582066690635573,0.0617431400908174
"raw","string",0.0381168334375685,0.000591172315690137,NA,0.036974920210428,0.0392925739846244
"gm","string",0.336320462311217,0.00181652591292962,NA,0.332769483102005,0.339890031400495
"mc","string",0.239475258299651,0.00150108327040607,NA,0.236545582415631,0.242429696970977
"z","string",0.475216920586131,0.00187529562054956,NA,0.471542817216205,0.478893708889603
"knn","string",0.360075328677214,0.00174279462228272,NA,0.356666646952553,0.363498180623337
"wsld","string",0.530756856825113,0.00185813954812025,NA,0.527113396495262,0.534397041366537
"COSNet","string",0.412742220659901,0.0018120756191621,NA,0.409195216226532,0.4162983066534
"bagsvm","string",0.194764740383654,0.00155368999158108,NA,0.191737600060661,0.197827975491715
"rf","string",0.130656600297453,0.0011407481304939,NA,0.128436983737913,0.132908726203978
"svm","string",0.46363569189919,0.00187447466972684,NA,0.459963828505069,0.467311502667104
"pr","omnipath",0.349431714454566,0.00172484813405984,NA,0.346058689001628,0.352819878739606
"randomraw","omnipath",0.504337605317351,0.00187428258303648,NA,0.50066391089974,0.50801083143578
"random","omnipath",0.387348195927483,0.00178610846540395,NA,0.383853358760136,0.39085466766064
"EGAD","omnipath",0.48182994001961,0.00186830785129191,NA,0.478169165114393,0.485492666556146
"ppr","omnipath",0.366204169346393,0.00174633840279476,NA,0.362788210864799,0.369633634204551
"raw","omnipath",0.479039692594279,0.001868413479289,NA,0.475378861113131,0.482702776644565
"gm","omnipath",0.363613640426021,0.00174225970675132,NA,0.360205794835026,0.367035231115888
"mc","omnipath",0.234584514381403,0.00167431894439052,NA,0.231318841672257,0.237882023074395
"z","omnipath",0.15997333752975,0.00127036014501789,NA,0.157499135890375,0.162478911340828
"knn","omnipath",0.518435691604254,0.00186376654207914,NA,0.514781855895241,0.522087556688275
"wsld","omnipath",0.400820534236727,0.00179807905108953,NA,0.397301548606087,0.404349777424744
"COSNet","omnipath",0.515687842681333,0.00186700272499662,NA,0.512027808796733,0.519346194467028
"bagsvm","omnipath",0.39818062670925,0.0017969034280027,NA,0.394664086267368,0.401707707260563
"rf","omnipath",0.453369475855212,0.00188285370451779,NA,0.449681779160671,0.457062297240145
"svm","omnipath",0.340090870562334,0.00171725285765618,NA,0.336733231862857,0.343464651919597
