"method","prob","SE","df","asymp.LCL","asymp.UCL"
"pr",0.682266808302612,0.00121385484414994,Inf,0.679882951910019,0.684641146744122
"randomraw",0.607922499600602,0.00127544197215938,Inf,0.605419869532057,0.610419470768891
"random",0.499133787249133,0.00130680565139039,Inf,0.496572540370664,0.50169507958729
"EGAD",0.709838882524103,0.001189997716484,Inf,0.707500999586014,0.71216568140982
"ppr",0.837650823440847,0.000965866148900518,Inf,0.835748851570127,0.839534999805613
"raw",0.856216449410426,0.00092549492169948,Inf,0.85439297500093,0.858020882734257
"gm",0.529403999875889,0.00130903246447213,Inf,0.526837588938786,0.53196885703009
"mc",0.861209914685291,0.000905259237910779,Inf,0.859426107461089,0.862974695324583
"z",0.857484230517878,0.000919253504986445,Inf,0.855673013557542,0.859276455905884
"knn",0.85456925605646,0.000927668355829539,Inf,0.85274161161117,0.856378037732929
"wsld",0.853861828356014,0.00092936455615194,Inf,0.852030881963793,0.85567395659497
"COSNet",0.565359374207866,0.00131383034034301,Inf,0.562782572735188,0.567932648318991
"bagsvm",0.859671908805262,0.000911119315312585,Inf,0.857876622119548,0.861448180229525
"rf",0.827402748160443,0.000993561417115615,Inf,0.825446701074387,0.829341407540179
"svm",0.776305095906414,0.00109659173529547,Inf,0.774148468016817,0.778447024028276
