"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic",0.0109416609737239,0.00010586733552656,Inf,0.0107360986715604,0.0111511147776007
"association_score.datatypes.animal_model","classic",0.0193477058363796,0.000147524900045771,Inf,0.0190606703977914,0.0196389772151864
"association_score.datatypes.genetic_association","classic",0.0209501517096915,0.000154785411799279,Inf,0.0206489177440679,0.021255684808805
"association_score.datatypes.literature","classic",0.0550252477727995,0.000288237001429741,Inf,0.0544630371648045,0.0555929207418638
"association_score.datatypes.rna_expression","classic",0.0141805043401617,0.000122806174201106,Inf,0.0139418111725581,0.0144232243199109
"association_score.datatypes.somatic_mutation","classic",0.0108375182908861,0.000105296954435299,Inf,0.0106330716716708,0.0110458520050238
"association_score.datatypes.affected_pathway","block",0.0112574169519244,0.000108571227122437,Inf,0.011046597521316,0.0114722131053461
"association_score.datatypes.animal_model","block",0.0199011635419786,0.000150970306758247,Inf,0.0196074122593937,0.020199225029731
"association_score.datatypes.genetic_association","block",0.0215484414983819,0.000158342903592368,Inf,0.0212402709781633,0.0218609833327952
"association_score.datatypes.literature","block",0.0565404492361078,0.000293200144481402,Inf,0.0559685253037498,0.0571178638660178
"association_score.datatypes.rna_expression","block",0.0145883486984753,0.000125832951748309,Inf,0.0143437634939494,0.0148370417109296
"association_score.datatypes.somatic_mutation","block",0.011150302786461,0.000107989429648759,Inf,0.0109406214805891,0.0113639565442471
"association_score.datatypes.affected_pathway","representative",0.00942036119132311,9.27924303442677e-05,Inf,0.00924021944639438,0.00960398082793493
"association_score.datatypes.animal_model","representative",0.0166773590387833,0.00013078435015035,Inf,0.0164229535615814,0.0169356376155356
"association_score.datatypes.genetic_association","representative",0.0180627109879101,0.00013748411713612,Inf,0.0177952108276097,0.0183341571897818
"association_score.datatypes.literature","representative",0.0476700969901564,0.000263630446726058,Inf,0.0471560428736399,0.0481894714699312
"association_score.datatypes.rna_expression","representative",0.0122144455510062,0.000108143334930775,Inf,0.0120042947387166,0.0124282290483949
"association_score.datatypes.somatic_mutation","representative",0.00933056163479448,9.22780023219073e-05,Inf,0.00915142560350072,0.0095131705264517
