"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic",1.67054397122285,0.015262765894673,NA,1.64089574774319,1.70072788818378
"association_score.datatypes.animal_model","classic",2.16642815350883,0.0177551138628715,NA,2.13190677093109,2.20150853138191
"association_score.datatypes.genetic_association","classic",2.44986702849905,0.0191045647556796,NA,2.41270747009907,2.48759890360033
"association_score.datatypes.literature","classic",7.7833792807852,0.0408335674723294,NA,7.70375701726169,7.86382448106989
"association_score.datatypes.rna_expression","classic",1.86355438752346,0.0162563312900739,NA,1.83196339420877,1.89569014655878
"association_score.datatypes.somatic_mutation","classic",1.6611209939096,0.0152133621218847,NA,1.63156937595407,1.69120786224227
"association_score.datatypes.affected_pathway","block",1.66395210254559,0.0152092281862873,NA,1.63440799314782,1.69403026121611
"association_score.datatypes.animal_model","block",2.15787955488906,0.0176947220391464,NA,2.1234757431875,2.1928407651215
"association_score.datatypes.genetic_association","block",2.4401999966778,0.0190406698867665,NA,2.40316488821219,2.47780585218861
"association_score.datatypes.literature","block",7.75266652196648,0.0407266851951644,NA,7.67325321411727,7.83290170722383
"association_score.datatypes.rna_expression","block",1.85620091104688,0.0161999989438717,NA,1.82471951811147,1.88822544395055
"association_score.datatypes.somatic_mutation","block",1.65456630774898,0.0151599656002487,NA,1.62511852672106,1.68454769404519
"association_score.datatypes.affected_pathway","representative",1.24543115498283,0.0118022934289507,NA,1.22251258333413,1.26877938349852
"association_score.datatypes.animal_model","representative",1.61512487183247,0.0138465286140736,NA,1.58821290644817,1.64249285534753
"association_score.datatypes.genetic_association","representative",1.82643544582934,0.0149658110036378,NA,1.79733727814949,1.85600470114123
"association_score.datatypes.literature","representative",5.80269853073182,0.0337619265929425,NA,5.73690224373901,5.86924943253208
"association_score.datatypes.rna_expression","representative",1.38932511397932,0.0126134709191133,NA,1.36482182023174,1.41426832698639
"association_score.datatypes.somatic_mutation","representative",1.238406096247,0.0117620934239327,NA,1.2155660631459,1.26167528505414
