"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","string",0.499462793966307,0.000603472967908496,Inf,0.498280013895971,0.500645580048956
"association_score.datatypes.animal_model","string",0.508920711469117,0.000603372810219231,Inf,0.507738074777531,0.510103248323185
"association_score.datatypes.genetic_association","string",0.521684286126969,0.000602844505758782,Inf,0.520502613483869,0.522865716132583
"association_score.datatypes.literature","string",0.696665804517786,0.000548645174632593,Inf,0.695589404858217,0.697740051936588
"association_score.datatypes.rna_expression","string",0.516395546588592,0.000603118239064485,Inf,0.515213367022891,0.517577542676882
"association_score.datatypes.somatic_mutation","string",0.499233051972667,0.000603472317061563,Inf,0.498050274463569,0.500415838065301
"association_score.datatypes.affected_pathway","omnipath",0.500977428048886,0.000603471593861389,Inf,0.499794642195866,0.502160202962728
"association_score.datatypes.animal_model","omnipath",0.510434778408893,0.000603312388222311,Inf,0.509252251673714,0.511617188371335
"association_score.datatypes.genetic_association","omnipath",0.52319586967654,0.000602704501464382,Inf,0.522014463002705,0.524377016848934
"association_score.datatypes.literature","omnipath",0.697944583573098,0.000547500301127185,Inf,0.696870422745085,0.699016582033531
"association_score.datatypes.rna_expression","omnipath",0.517908398598476,0.000603011189019369,Inf,0.516726420395198,0.519090176423986
"association_score.datatypes.somatic_mutation","omnipath",0.500747686348214,0.000603472377624109,Inf,0.499564900244667,0.501930464083798
